prompt_template,metric,condition_a,condition_b,n_items,mean_diff_b_minus_a,sd_diff,effect_size_dz,t_stat,t_p_two_sided,perm_p_two_sided,bootstrap_ci95_low,bootstrap_ci95_high,mcnemar_b,mcnemar_c,mcnemar_p_exact
demo__involving_event__did_to__mary_answered,logprob_delta,active,filler,2080,0.6343244992769681,1.4734552735941897,0.4305013600648118,19.633882848706154,7.149572167712616e-79,0.0,0.5709079713087816,0.6980248044087336,,,
demo__involving_event__did_to__mary_answered,passive_choice_delta,active,filler,2080,0.1466346153846154,0.5126004599190597,0.2860602493563295,13.046354656552733,1.8882174628554394e-37,0.0,0.125,0.16875,448.0,143.0,1.4577731922734351e-37
demo__involving_event__did_to__mary_answered,logprob_delta,active,no_demo,2080,0.2153400127704327,1.3006429965936583,0.16556427346658628,7.550892635239796,6.431745103153588e-14,0.0,0.1605026340484619,0.27083262920379636,,,
demo__involving_event__did_to__mary_answered,passive_choice_delta,active,no_demo,2080,0.010096153846153847,0.44881758007816513,0.022495005307937185,1.0259300895833856,0.3050438892648494,0.3255,-0.009615384615384616,0.029326923076923077,220.0,199.0,0.3285421658101713
demo__involving_event__did_to__mary_answered,logprob_delta,active,passive,2080,1.881005653968224,0.777193931781731,2.420252625565391,110.38050264805297,0.0,0.0,1.8476377142392673,1.9139110348774837,,,
demo__involving_event__did_to__mary_answered,passive_choice_delta,active,passive,2080,0.5480769230769231,0.49780292065007803,1.1009917787569277,50.21295077499344,0.0,0.0,0.5269230769230769,0.5692307692307692,1140.0,0.0,0.0
demo__involving_event__did_to__mary_answered,logprob_delta,no_demo,filler,2080,0.41898448650653547,0.978909831607448,0.42801131726149844,19.520319424234838,4.695093055190706e-78,0.0,0.37581145506638747,0.46115835483257583,,,
demo__involving_event__did_to__mary_answered,passive_choice_delta,no_demo,filler,2080,0.13653846153846153,0.4293372617540717,0.318021457025717,14.504009998197764,1.7578938302929824e-45,0.0,0.11778846153846154,0.15528846153846154,353.0,69.0,5.207209623158564e-47
demo__involving_event__did_to__mary_answered,logprob_delta,passive,filler,2080,-1.246681154691256,1.3734435789283084,-0.9077046729972231,-41.39770245596331,9.992860159743438e-274,0.0,-1.3046682570530816,-1.1872434982886682,,,
demo__involving_event__did_to__mary_answered,passive_choice_delta,passive,filler,2080,-0.4014423076923077,0.5735033109373019,-0.6999825459354589,-31.924115874957543,2.4708308436460058e-182,0.0,-0.4264423076923077,-0.3764423076923077,92.0,927.0,2.5942382066185403e-174
demo__involving_event__did_to__mary_answered,logprob_delta,passive,no_demo,2080,-1.6656656411977915,1.2112068264660492,-1.3752115698172884,-62.71929744870718,0.0,0.0,-1.7181932067871093,-1.6137557829343354,,,
demo__involving_event__did_to__mary_answered,passive_choice_delta,passive,no_demo,2080,-0.5379807692307692,0.5277300893913927,-1.0194240958502068,-46.492892073692545,0.0,0.0,-0.5610576923076923,-0.5149038461538461,31.0,1150.0,0.0
