prompt_template,metric,condition_a,condition_b,n_items,mean_diff_b_minus_a,sd_diff,effect_size_dz,t_stat,t_p_two_sided,perm_p_two_sided,bootstrap_ci95_low,bootstrap_ci95_high,mcnemar_b,mcnemar_c,mcnemar_p_exact
demo__involving_event__did_to__mary_answered,logprob_delta,active,filler,2080,1.2227544931265024,1.3111928741636965,0.932551203732249,42.53087860568519,6.4954890986154815e-285,0.0,1.1660284724602332,1.2775977699573222,,,
demo__involving_event__did_to__mary_answered,passive_choice_delta,active,filler,2080,0.2980769230769231,0.5241600659567407,0.5686753769248869,25.93558758514982,1.0001504738787261e-128,0.0,0.27548076923076925,0.32067307692307695,688.0,68.0,5.7943991324392775e-130
demo__involving_event__did_to__mary_answered,logprob_delta,active,no_prime,2080,0.9422229473407452,1.0982212566153502,0.8579536606718193,39.128707190874124,2.0089798386664164e-251,0.0,0.8960777708200308,0.9900632007305438,,,
demo__involving_event__did_to__mary_answered,passive_choice_delta,active,no_prime,2080,0.23701923076923076,0.5030687545735392,0.4711467937820078,21.487599835379864,1.1748981450559172e-92,0.0,0.21586538461538463,0.2591346153846154,568.0,75.0,1.1749113999696509e-94
demo__involving_event__did_to__mary_answered,logprob_delta,active,passive,2080,0.7795238788311298,0.5819841839119434,1.3394245073661228,61.0871562829749,0.0,0.0,0.7544433439694919,0.8040821134127103,,,
demo__involving_event__did_to__mary_answered,passive_choice_delta,active,passive,2080,0.17596153846153847,0.38589742667815746,0.4559800773387698,20.79589114065879,2.0356560063253037e-87,0.0,0.1596153846153846,0.19230769230769232,370.0,4.0,4.214951436152941e-104
demo__involving_event__did_to__mary_answered,logprob_delta,no_prime,filler,2080,0.28053154578575723,1.0346886532994084,0.27112653153313326,12.365272333857803,6.090699195698581e-34,0.0,0.23530244680551382,0.32599091163048377,,,
demo__involving_event__did_to__mary_answered,passive_choice_delta,no_prime,filler,2080,0.061057692307692306,0.45860154716854046,0.13313887117186943,6.072066761424223,1.4971126353501067e-09,0.0,0.041346153846153845,0.08076923076923077,286.0,159.0,1.8219964648019062e-09
demo__involving_event__did_to__mary_answered,logprob_delta,passive,filler,2080,0.4432306142953726,1.3350913799360518,0.33198522659670116,15.140855874461094,3.3165049509515745e-49,0.0,0.3873227853041429,0.5021163544288048,,,
demo__involving_event__did_to__mary_answered,passive_choice_delta,passive,filler,2080,0.12211538461538461,0.5286331000353217,0.23100215368130603,10.53531915089598,2.548279523227931e-25,0.0,0.09951923076923076,0.14471153846153847,433.0,179.0,3.0288902351140913e-25
demo__involving_event__did_to__mary_answered,logprob_delta,passive,no_prime,2080,0.16269906850961538,1.0633322917637458,0.15300867825592598,6.978269390972304,4.002749401739424e-12,0.0,0.11613318810096154,0.20856914373544544,,,
demo__involving_event__did_to__mary_answered,passive_choice_delta,passive,no_prime,2080,0.061057692307692306,0.5139916662139892,0.11879121067747482,5.417712765289243,6.735512542205428e-08,0.0,0.03894230769230769,0.08269230769230769,342.0,215.0,8.268201830967405e-08
