"condition","region","summary_column","active_value","passive_value","passive_minus_active","share_of_sentence_effect","n_items","effect_size_dz","t_p_two_sided","bootstrap_ci95_low","bootstrap_ci95_high"
"CORE","critical_word","mean_critical_word_pe_mean",0.130401928398386,0.175748373103142,0.0453464447047562,0.316271283715172,15000,0.0475072579424838,6.06154118852398e-09,0.029965882323465,0.0604455514934984
"CORE","post_divergence","mean_post_divergence_pe_mean",0.0812686366971901,0.164043161018303,0.082774524321113,0.577315492678642,15000,0.230793779607424,2.67242240814258e-171,0.0771065166149466,0.0884886346446838
"CORE","structure_region","mean_structure_region_pe_mean",0.115892727233147,0.190281234237089,0.0743885070039423,0.518826751622366,15000,NA,NA,NA,NA
"CORE","sentence","mean_sentence_pe_mean",0.0311782379018408,0.174556555946025,0.143378318044184,1,15000,0.388663471475899,0,0.137463476625862,0.149295995383211
"CORE","pre_divergence","mean_pre_divergence_pe",-0.220510736560822,0.220510739803314,0.441021476364136,3.07592865071991,15000,NA,NA,NA,NA
"jabberwocky","critical_word","mean_critical_word_pe_mean",0.0447443909651537,0.80820420738856,0.763459816423406,1.53468006611368,15000,0.82227787338678,0,0.748911105304903,0.778145190436896
"jabberwocky","post_divergence","mean_post_divergence_pe_mean",-0.0624946184509521,0.358954191390931,0.421448809841884,0.847181571889004,15000,1.34074908518893,0,0.416432310579515,0.426447836123403
"jabberwocky","structure_region","mean_structure_region_pe_mean",-0.0642733157482144,0.458519920341378,0.522793236089592,1.05090057245502,15000,NA,NA,NA,NA
"jabberwocky","sentence","mean_sentence_pe_mean",-0.112068096182379,0.385403548416968,0.497471644599348,1,15000,1.48186954788718,0,0.492053993341784,0.502890727809986
"jabberwocky","pre_divergence","mean_pre_divergence_pe",-0.887457292322318,0.887457292322318,1.77491458464464,3.56787086040675,15000,NA,NA,NA,NA
