"condition","token_index","mean_token_pe_active","mean_token_pe_passive","passive_minus_active_token_pe","mean_congruent_log_prob_active","mean_congruent_log_prob_passive","mean_incongruent_log_prob_active","mean_incongruent_log_prob_passive","post_divergence_rate_active","post_divergence_rate_passive","structure_region_rate_active","structure_region_rate_passive"
"CORE",0,-0.260207191944122,0.259212369346619,0.519419561290741,-8.39618958896001,-8.11974938488007,-8.13598239701589,-8.37896175422668,0.135333333333333,0.135333333333333,0,0
"CORE",1,-0.0226631501833597,-0.0044445344289143,0.0182186157544454,-8.55438352476756,-9.22250549910863,-8.5317203745842,-9.21806096467972,1,1,0,0
"CORE",2,0.137599299899737,0.175748373103142,0.0381490732034048,-10.8587293068409,-4.31701768700282,-10.9963286067406,-4.49276606010596,1,1,1,1
"CORE",3,0.0203181530607243,0.250088764031728,0.229770610971004,-2.40322364979324,-8.45866337432861,-2.42354180285397,-8.70875213836034,1,1,1,1
"CORE",4,0.0748850227594375,0.368992459080089,0.294107436320651,-7.9287804453214,-1.96563830398691,-8.00366546808084,-2.33463076306699,1,1,1,1
"CORE",5,0.222541330170631,-0.0394897384603818,-0.262031068631013,-4.19232451595465,-1.82461098586619,-4.41486584612529,-1.78512124740581,1,1,1,1
"CORE",6,0.205906408801115,0.021777519651254,-0.184128889149861,-3.79390891315346,-7.98451074908574,-3.99981532195457,-8.006288268737,1,1,1,1
"CORE",7,NA,0.36099496888717,NA,NA,-3.03191377733946,NA,-3.39290874622663,NA,1,NA,1
"CORE",8,NA,0.335928493499756,NA,NA,-3.13060376691818,NA,-3.46653226041794,NA,1,NA,1
"jabberwocky",0,-0.859949941380819,0.859949941380819,1.71989988276164,-6.69252813622157,-5.83257819484075,-5.83257819484075,-6.69252813622157,0,0,0,0
"jabberwocky",1,-0.244020883615812,0.244322360511621,0.488343244127432,-5.80349062503179,-5.53025669020017,-5.55946974141598,-5.77457905071179,0.8992,0.8992,0,0
"jabberwocky",2,0.0412645990553001,-0.0459410542103151,-0.0872056532656152,-7.0497157010518,-7.07362930507734,-7.0909803001071,-7.02768825086703,0.993266666666667,0.993266666666667,0,0
"jabberwocky",3,-0.139468616039554,0.144307682325194,0.283776298364748,-7.43356905446872,-7.25649192336375,-7.29410043842917,-7.40079960568895,0.998133333333333,0.998133333333333,0,0
"jabberwocky",4,0.0392074445486068,-0.0372091768383979,-0.0764166213870047,-6.87972252952258,-6.91425875095079,-6.91892997407118,-6.8770495741124,1,1,0,0
"jabberwocky",5,0.266335812037935,0.407752145589391,0.141416333551456,-5.80723006061638,-4.83177586083363,-6.07356587265432,-5.23952800642302,1,1,0.558533333333333,0.551
"jabberwocky",6,0.199515210442742,0.451395846390724,0.251880635947982,-6.99166410696705,-5.41627887770335,-7.19117931740979,-5.86767472409407,1,1,1,1
"jabberwocky",7,-0.0081412627525627,0.0916930252154668,0.0998342879680295,-7.21928545604323,-6.88547214931448,-7.21114419329067,-6.97716517452995,1,1,1,1
"jabberwocky",8,-0.042560707634439,0.126958710634708,0.169519418269147,-7.18166389107257,-7.05860734561086,-7.13910318343813,-7.18556605624557,1,1,1,1
"jabberwocky",9,-0.226905501902103,0.343559432042638,0.570464933944742,-7.6862569044431,-7.15617883475075,-7.459351402541,-7.49973826679339,1,1,1,1
"jabberwocky",10,-0.487734395168225,1.08314069833507,1.5708750935033,-6.21528147852023,-6.69987270344893,-5.72754708335201,-7.783013401784,1,1,1,1
"jabberwocky",11,-0.276589862216512,1.4599315920795,1.73652145429601,-5.01964446376661,-3.6685722358043,-4.7430546015501,-5.1285038278838,1,1,1,1
"jabberwocky",12,0.0009270869873464,0.38687641137441,0.385949324387064,-5.8611983435293,-2.63894012670914,-5.86212543051665,-3.02581653808355,1,1,1,1
"jabberwocky",13,-0.0207396295788387,-0.0721593910187482,-0.0514197614399095,-6.51831464956403,-4.34053283549299,-6.49757501998519,-4.26837344447424,1,1,1,1
"jabberwocky",14,-0.0263265219012896,0.164615472195049,0.190941994096339,-6.10790267588,-5.85460426657349,-6.0815761539787,-6.01921973876854,1,1,1,1
"jabberwocky",15,-0.010667525339189,0.186496861090511,0.1971643864297,-4.80107869775409,-6.50114074703082,-4.7904111724149,-6.68763760812134,1,1,1,1
"jabberwocky",16,-0.0738015260391053,0.251484988991419,0.325286515030525,-3.79243697532451,-5.94851828305672,-3.7186354492854,-6.20000327204814,1,1,1,1
"jabberwocky",17,-0.144838569986768,0.527211420666567,0.672049990653335,-3.58436867781255,-4.1243437746388,-3.43953010782578,-4.65155519530536,1,1,1,1
"jabberwocky",18,NA,0.875745303488187,NA,NA,-2.53945171876735,NA,-3.41519702225553,NA,1,NA,1
"jabberwocky",19,NA,1.12553577617157,NA,NA,-1.86815140071765,NA,-2.99368717688923,NA,1,NA,1
