prompt_template,metric,condition_a,condition_b,n_items,mean_diff_b_minus_a,sd_diff,effect_size_dz,t_stat,t_p_two_sided,perm_p_two_sided,bootstrap_ci95_low,bootstrap_ci95_high,mcnemar_b,mcnemar_c,mcnemar_p_exact
demo__involving_event__did_to__mary_answered,logprob_delta,active,filler,2080,1.358813579265888,1.4888440523006294,0.9126634701372434,41.62385840144744,5.875538597077573e-276,0.0,1.2940897868229793,1.4228528741689828,,,
demo__involving_event__did_to__mary_answered,passive_choice_delta,active,filler,2080,0.36346153846153845,0.5350725056500159,0.6792753031105546,30.979720299336897,1.3871619922694304e-173,0.0,0.3403846153846154,0.38653846153846155,813.0,57.0,3.687524053541277e-172
demo__involving_event__did_to__mary_answered,logprob_delta,active,no_prime,2080,1.0083818729107197,1.1938643188931801,0.8446369130502037,38.52137005565759,1.7508404251639909e-245,0.0,0.9568954475109395,1.0598944983115561,,,
demo__involving_event__did_to__mary_answered,passive_choice_delta,active,no_prime,2080,0.2783653846153846,0.5198449663012897,0.5354776955828994,24.42154036769357,5.0741073204360615e-116,0.0,0.25576923076923075,0.30096153846153845,651.0,72.0,1.5466786468590267e-117
demo__involving_event__did_to__mary_answered,logprob_delta,active,passive,2080,0.811704973074106,0.5348771819674824,1.5175539365660458,69.21110818940247,0.0,0.0,0.7887583226423998,0.8348877543669481,,,
demo__involving_event__did_to__mary_answered,passive_choice_delta,active,passive,2080,0.18990384615384615,0.3935433567300732,0.4825487278752338,22.00760803744772,1.1494618084890232e-96,0.0,0.17307692307692307,0.20673076923076922,396.0,1.0,2.466066531376046e-117
demo__involving_event__did_to__mary_answered,logprob_delta,no_prime,filler,2080,0.3504317063551683,1.1300136779457495,0.3101128005744299,14.143319768945393,1.9816309806452872e-43,0.0,0.30277241633488583,0.39926544482891374,,,
demo__involving_event__did_to__mary_answered,passive_choice_delta,no_prime,filler,2080,0.08509615384615385,0.4396957608191851,0.19353416937114323,8.826516153358071,2.241741164634938e-18,0.0,0.06634615384615385,0.10432692307692308,297.0,120.0,2.0610266752410145e-18
demo__involving_event__did_to__mary_answered,logprob_delta,passive,filler,2080,0.5471086061917818,1.5161061609254163,0.36086431167711375,16.457944798782442,2.6384884642215784e-57,0.0,0.48197530306302583,0.6128410874880277,,,
demo__involving_event__did_to__mary_answered,passive_choice_delta,passive,filler,2080,0.1735576923076923,0.5762435256092694,0.3011880994657382,13.736290773725978,3.647313356001842e-41,0.0,0.1485576923076923,0.19807692307692307,557.0,196.0,6.849183257075991e-41
demo__involving_event__did_to__mary_answered,logprob_delta,passive,no_prime,2080,0.19667689983661357,1.15066889982783,0.17092397288745836,7.795332537863655,1.0073419440248814e-14,0.0,0.14750125004695014,0.24643188623281626,,,
demo__involving_event__did_to__mary_answered,passive_choice_delta,passive,no_prime,2080,0.08846153846153847,0.5486101539099518,0.16124662992668276,7.353977792898355,2.7533778469064246e-13,0.0,0.06442307692307692,0.11153846153846154,413.0,229.0,3.54557821330856e-13
