prompt_template,metric,condition_a,condition_b,n_items,mean_diff_b_minus_a,sd_diff,effect_size_dz,t_stat,t_p_two_sided,perm_p_two_sided,bootstrap_ci95_low,bootstrap_ci95_high,mcnemar_b,mcnemar_c,mcnemar_p_exact
demo__involving_event__did_to__mary_answered,logprob_delta,active,filler,2080,1.3054236778846153,1.2765424695782568,1.022624557345045,46.638855575508174,0.0,0.0,1.2492018795013426,1.3603129137479342,,,
demo__involving_event__did_to__mary_answered,passive_choice_delta,active,filler,2080,0.2221153846153846,0.4881386209667427,0.45502522249825733,20.752343059711215,4.31330625206951e-87,0.0,0.2014423076923077,0.24326923076923077,530.0,68.0,1.1098679944151241e-89
demo__involving_event__did_to__mary_answered,logprob_delta,active,no_prime,2080,0.4510714310866136,1.1567199334153415,0.38995734235751955,17.784791143720597,5.579150298656898e-66,0.0,0.4011650745685284,0.5007665773538442,,,
demo__involving_event__did_to__mary_answered,passive_choice_delta,active,no_prime,2080,0.06682692307692308,0.36941190453903244,0.18090083794216782,8.250347592060058,2.768466526382579e-16,0.0,0.05096153846153846,0.08269230769230769,216.0,77.0,2.000447398382543e-16
demo__involving_event__did_to__mary_answered,logprob_delta,active,passive,2080,1.9089481353759765,0.612626935746247,3.116004249879525,142.11165880868433,0.0,0.0,1.881834487915039,1.935613686488225,,,
demo__involving_event__did_to__mary_answered,passive_choice_delta,active,passive,2080,0.4879807692307692,0.4999757181361099,0.9760089370938705,44.512856190062465,1.5908203088468048e-304,0.0,0.4658653846153846,0.5096153846153846,1015.0,0.0,5.696189077778436e-306
demo__involving_event__did_to__mary_answered,logprob_delta,no_prime,filler,2080,0.8543522467980018,1.0843684141133265,0.787880055964738,35.9328591094691,2.3259346575701093e-220,0.0,0.807988046499399,0.9004532894721398,,,
demo__involving_event__did_to__mary_answered,passive_choice_delta,no_prime,filler,2080,0.15528846153846154,0.4646430185025216,0.3342102546572941,15.242332767054858,8.231567981685089e-50,0.0,0.13509615384615384,0.175,411.0,88.0,6.457406463516343e-51
demo__involving_event__did_to__mary_answered,logprob_delta,passive,filler,2080,-0.6035244574913612,1.1670603135501012,-0.5171321914421797,-23.584856648401438,3.5171934347887876e-109,0.0,-0.652466883292565,-0.5538339893634503,,,
demo__involving_event__did_to__mary_answered,passive_choice_delta,passive,filler,2080,-0.2658653846153846,0.5876623299965841,-0.4524118206061124,-20.633153595177962,3.3501608894851505e-86,0.0,-0.29134615384615387,-0.2403846153846154,156.0,709.0,7.04971602135402e-85
demo__involving_event__did_to__mary_answered,logprob_delta,passive,no_prime,2080,-1.457876704289363,1.1188973513230036,-1.3029584014704694,-59.42404597132344,0.0,0.0,-1.5059007644653322,-1.4102217938349797,,,
demo__involving_event__did_to__mary_answered,passive_choice_delta,passive,no_prime,2080,-0.42115384615384616,0.5313949401157131,-0.7925439524549075,-36.14556551600101,2.0699203199817122e-222,0.0,-0.4442307692307692,-0.39807692307692305,40.0,916.0,3.0412123583166948e-217
