s_PE_DO,s_PE_PO,w_PE_DO,w_PE_PO
-0.0625,2.0,0.1796875,-0.1875
2.1875,0.8125,0.3837890625,-0.3779296875
0.4375,1.5,0.24609375,-0.24609375
-0.375,1.375,-0.015625,0.015625
1.375,-1.25,0.4404296875,-0.4375
-2.125,3.0625,-0.05859375,0.060546875
-0.3125,0.75,-0.0390625,0.0390625
-1.9375,3.625,-0.162109375,0.16015625
-1.0,3.0625,-0.08984375,0.08984375
1.75,1.6875,-0.068359375,0.068359375
1.8125,-0.125,-0.265625,0.265625
-2.3125,3.4375,0.0078125,-0.00390625
1.1875,-0.6875,0.0546875,-0.0546875
-0.9375,1.375,0.01171875,-0.01171875
-0.375,1.6875,0.19140625,-0.193359375
-1.375,3.125,0.05859375,-0.0625
-1.9375,3.3125,-0.005859375,-0.00390625
0.3125,1.4375,-0.0625,0.0625
-0.5,3.0625,-0.38671875,0.37890625
-1.9375,3.6875,-0.2265625,0.2265625
-0.375,1.8125,-0.3125,0.3125
-2.5625,5.0625,-0.40625,0.4140625
-1.75,2.625,-0.451171875,0.447265625
-0.25,3.375,-0.4375,0.4375
-0.5625,3.4375,-0.140625,0.146484375
-0.1875,2.1875,0.103515625,-0.1015625
0.25,1.25,-0.2421875,0.234375
-0.4375,0.375,0.08984375,-0.08984375
0.8125,0.375,-0.08203125,0.078125
2.6875,0.0,0.484375,-0.484375
0.375,0.6875,-0.01953125,0.01953125
-0.5,1.3125,0.5546875,-0.55859375
-2.125,2.75,0.0390625,-0.0390625
0.875,-0.375,-0.078125,0.072265625
-1.375,1.375,-0.0546875,0.0625
-0.875,1.125,0.03173828125,-0.0328369140625
0.5625,1.125,-0.1875,0.1875
0.4375,0.875,0.1640625,-0.16796875
1.375,0.25,-0.0546875,0.05078125
1.125,1.375,-0.40625,0.40625
0.0625,0.625,0.29296875,-0.2890625
0.4375,-0.25,0.874420166015625,-0.874420166015625
-1.25,3.125,-0.150390625,0.15234375
-0.4375,2.25,-0.0546875,0.0546875
-0.5,1.6875,-0.01953125,0.01953125
