s_cong_Trans,s_inc_Trans,w_cong_Trans,w_inc_Trans,s_cong_Intrans,s_inc_Intrans,w_cong_Intrans,w_inc_Intrans,s_PE_Transitive,s_PE_Intransitive,w_PE_Transitive,w_PE_Intransitive
-39.75,-42.03125,-8.984375,-9.1640625,-31.796875,-28.890625,-8.1015625,-8.6953125,2.28125,-2.90625,0.1796875,0.59375
-36.0,-38.46875,-11.75,-11.9921875,-30.6875,-28.796875,-11.7890625,-12.3203125,2.46875,-1.890625,0.2421875,0.53125
-30.296875,-31.28125,-6.5234375,-6.50390625,-20.78125,-20.75,-5.18359375,-4.93359375,0.984375,-0.03125,-0.01953125,-0.25
-36.65625,-40.3125,-10.4921875,-11.7265625,-22.484375,-22.40625,-6.83203125,-5.57421875,3.65625,-0.078125,1.234375,-1.2578125
-34.40625,-40.0625,-6.90234375,-7.91796875,-28.125,-22.59375,-7.078125,-6.35546875,5.65625,-5.53125,1.015625,-0.72265625
-32.53125,-37.4375,-6.09375,-7.68359375,-26.9375,-29.625,-10.9140625,-10.28125,4.90625,2.6875,1.58984375,-0.6328125
-43.125,-44.96875,-15.1015625,-14.828125,-31.578125,-32.96875,-14.203125,-14.890625,1.84375,1.390625,-0.2734375,0.6875
-48.9375,-45.125,-9.3125,-10.875,-24.71875,-30.359375,-7.3046875,-8.2734375,-3.8125,5.640625,1.5625,0.96875
-48.90625,-46.03125,-11.2890625,-12.0546875,-37.125,-40.1875,-9.328125,-8.6328125,-2.875,3.0625,0.765625,-0.6953125
-38.625,-37.78125,-11.8125,-11.671875,-28.84375,-29.59375,-13.546875,-12.859375,-0.84375,0.75,-0.140625,-0.6875
-43.9375,-43.25,-12.3203125,-12.953125,-27.71875,-28.484375,-8.1640625,-8.765625,-0.6875,0.765625,0.6328125,0.6015625
-39.21875,-42.59375,-11.203125,-11.5546875,-26.65625,-26.484375,-7.41796875,-7.33203125,3.375,-0.171875,0.3515625,-0.0859375
-30.921875,-37.84375,-8.359375,-8.3203125,-22.234375,-19.578125,-5.58203125,-5.15625,6.921875,-2.65625,-0.0390625,-0.42578125
