s_cong_Trans,s_inc_Trans,w_cong_Trans,w_inc_Trans,s_cong_Intrans,s_inc_Intrans,w_cong_Intrans,w_inc_Intrans,s_PE_Transitive,s_PE_Intransitive,w_PE_Transitive,w_PE_Intransitive
-59.59375,-60.03125,-7.86328125,-8.0390625,-42.96875,-43.375,-9.296875,-9.1171875,0.4375,0.40625,0.17578125,-0.1796875
-56.96875,-58.3125,-9.0625,-9.203125,-39.21875,-40.59375,-9.765625,-9.515625,1.34375,1.375,0.140625,-0.25
-65.4375,-67.0,-10.203125,-10.578125,-44.65625,-45.6875,-6.61328125,-7.0546875,1.5625,1.03125,0.375,0.44140625
-60.84375,-63.65625,-12.71875,-12.6171875,-43.53125,-41.65625,-12.703125,-12.7421875,2.8125,-1.875,-0.1015625,0.0390625
-56.03125,-59.46875,-8.546875,-9.015625,-37.59375,-34.53125,-7.62890625,-7.2109375,3.4375,-3.0625,0.46875,-0.41796875
-58.1875,-59.78125,-6.48046875,-7.875,-37.8125,-39.75,-6.1875,-5.8203125,1.59375,1.9375,1.39453125,-0.3671875
-61.59375,-67.0,-8.4609375,-8.6328125,-46.6875,-43.09375,-9.640625,-9.6015625,5.40625,-3.59375,0.171875,-0.0390625
-62.53125,-66.375,-7.38671875,-6.7109375,-45.8125,-43.53125,-4.36328125,-5.5625,3.84375,-2.28125,-0.67578125,1.19921875
-61.9375,-62.21875,-11.5703125,-12.0390625,-40.6875,-39.5625,-14.1015625,-13.0,0.28125,-1.125,0.46875,-1.1015625
-59.1875,-57.5625,-9.7265625,-11.0546875,-46.1875,-47.375,-6.984375,-7.40234375,-1.625,1.1875,1.328125,0.41796875
-52.9375,-56.46875,-7.54296875,-7.34765625,-37.96875,-37.4375,-6.63671875,-6.6875,3.53125,-0.53125,-0.1953125,0.05078125
-60.21875,-62.5,-8.59375,-8.765625,-42.375,-42.4375,-9.109375,-9.1640625,2.28125,0.0625,0.171875,0.0546875
-55.1875,-56.75,-8.328125,-8.3046875,-36.0,-34.9375,-9.4921875,-8.828125,1.5625,-1.0625,-0.0234375,-0.6640625
-58.0625,-59.125,-13.28125,-12.7109375,-39.375,-42.3125,-11.765625,-12.6484375,1.0625,2.9375,-0.5703125,0.8828125
-53.3125,-58.78125,-10.8046875,-12.265625,-42.0625,-41.4375,-15.46875,-15.0625,5.46875,-0.625,1.4609375,-0.40625
-64.875,-66.4375,-7.4921875,-7.578125,-48.875,-49.1875,-7.04296875,-7.16796875,1.5625,0.3125,0.0859375,0.125
-66.0625,-67.3125,-8.1640625,-8.21875,-49.25,-48.1875,-8.4921875,-7.640625,1.25,-1.0625,0.0546875,-0.8515625
