s_cong_Active,s_inc_Active,w_cong_Active,w_inc_Active,s_cong_Passive,s_inc_Passive,w_cong_Passive,w_inc_Passive,s_PE_Active,s_PE_Passive,w_PE_Active,w_PE_Passive
-53.5,-61.6875,-8.7421875,-9.375,-63.9375,-59.28125,-4.8359375,-4.39453125,8.1875,-4.65625,0.6328125,-0.44140625
-64.25,-62.90625,-4.75,-4.93359375,-61.125,-69.125,-4.8359375,-5.34375,-1.34375,8.0,0.18359375,0.5078125
-66.625,-64.0625,-7.16796875,-7.91015625,-65.5,-74.1875,-5.37890625,-5.88671875,-2.5625,8.6875,0.7421875,0.5078125
-67.8125,-66.25,-6.9140625,-7.6171875,-68.6875,-74.0625,-5.484375,-6.66796875,-1.5625,5.375,0.703125,1.18359375
-56.71875,-60.125,-5.71875,-6.32421875,-65.3125,-63.59375,-4.61328125,-5.20703125,3.40625,-1.71875,0.60546875,0.59375
-65.0625,-64.75,-7.90234375,-8.328125,-63.0,-64.8125,-4.62890625,-4.55078125,-0.3125,1.8125,0.42578125,-0.078125
-65.375,-64.0625,-5.5546875,-5.74609375,-64.8125,-67.8125,-3.625,-3.974609375,-1.3125,3.0,0.19140625,0.349609375
-50.21875,-51.125,-5.3203125,-5.93359375,-50.65625,-55.0,-3.65234375,-4.2890625,0.90625,4.34375,0.61328125,0.63671875
-54.4375,-57.15625,-7.66796875,-7.86328125,-57.09375,-59.125,-4.72265625,-4.41796875,2.71875,2.03125,0.1953125,-0.3046875
-63.65625,-66.0625,-8.6015625,-9.265625,-68.0625,-71.125,-4.70703125,-5.125,2.40625,3.0625,0.6640625,0.41796875
-61.46875,-63.65625,-5.7734375,-6.6953125,-64.1875,-66.625,-4.83203125,-5.46484375,2.1875,2.4375,0.921875,0.6328125
-63.875,-66.3125,-4.91796875,-5.04296875,-64.3125,-66.625,-3.701171875,-4.26953125,2.4375,2.3125,0.125,0.568359375
-66.5,-71.9375,-8.0078125,-8.40625,-68.75,-69.5,-6.14453125,-5.4453125,5.4375,0.75,0.3984375,-0.69921875
-64.8125,-65.125,-6.1640625,-7.08984375,-66.875,-71.4375,-5.421875,-6.54296875,0.3125,4.5625,0.92578125,1.12109375
-62.96875,-67.9375,-7.58984375,-8.7890625,-61.375,-64.625,-4.79296875,-5.65625,4.96875,3.25,1.19921875,0.86328125
-59.28125,-61.125,-16.828125,-16.328125,-65.4375,-66.4375,-5.80859375,-6.29296875,1.84375,1.0,-0.5,0.484375
-61.65625,-63.8125,-6.390625,-7.171875,-65.6875,-67.25,-5.26953125,-5.64453125,2.15625,1.5625,0.78125,0.375
-62.53125,-63.125,-10.1328125,-10.453125,-66.0,-68.9375,-4.64453125,-5.10546875,0.59375,2.9375,0.3203125,0.4609375
-58.90625,-56.75,-7.9609375,-8.3515625,-58.4375,-63.96875,-5.23828125,-6.03515625,-2.15625,5.53125,0.390625,0.796875
-53.0,-55.3125,-8.1875,-8.65625,-56.0625,-58.03125,-4.015625,-4.18359375,2.3125,1.96875,0.46875,0.16796875
-63.03125,-62.15625,-5.48828125,-6.046875,-62.65625,-67.9375,-5.328125,-6.3203125,-0.875,5.28125,0.55859375,0.9921875
-70.3125,-71.125,-6.1953125,-6.69921875,-70.75,-72.4375,-5.4140625,-5.74609375,0.8125,1.6875,0.50390625,0.33203125
-68.75,-70.625,-6.08984375,-6.546875,-68.75,-72.4375,-3.7109375,-4.95703125,1.875,3.6875,0.45703125,1.24609375
-69.3125,-71.9375,-8.546875,-8.59375,-73.8125,-75.9375,-4.62109375,-5.1640625,2.625,2.125,0.046875,0.54296875
-69.625,-67.875,-5.10546875,-5.95703125,-72.25,-77.9375,-5.4375,-6.69921875,-1.75,5.6875,0.8515625,1.26171875
-58.5625,-58.3125,-9.2890625,-9.609375,-60.9375,-64.4375,-3.76171875,-3.48828125,-0.25,3.5,0.3203125,-0.2734375
-63.0,-63.65625,-6.70703125,-6.921875,-64.875,-66.6875,-4.3125,-4.21484375,0.65625,1.8125,0.21484375,-0.09765625
-62.3125,-65.0625,-7.51953125,-8.4375,-62.375,-61.34375,-4.31640625,-4.421875,2.75,-1.03125,0.91796875,0.10546875
-57.5625,-60.125,-8.9375,-9.125,-61.75,-64.125,-4.140625,-4.04296875,2.5625,2.375,0.1875,-0.09765625
-60.0625,-62.09375,-5.74609375,-7.2109375,-66.125,-67.4375,-5.97265625,-5.55078125,2.03125,1.3125,1.46484375,-0.421875
-62.5625,-61.375,-6.04296875,-6.52734375,-63.0625,-68.875,-5.09765625,-5.94140625,-1.1875,5.8125,0.484375,0.84375
-57.96875,-60.40625,-7.3671875,-7.55078125,-63.3125,-63.15625,-5.59375,-4.75,2.4375,-0.15625,0.18359375,-0.84375
-55.84375,-57.875,-8.15625,-8.7109375,-62.84375,-66.8125,-4.03515625,-3.693359375,2.03125,3.96875,0.5546875,-0.341796875
-62.25,-62.125,-8.953125,-9.40625,-61.28125,-66.125,-3.39453125,-4.53515625,-0.125,4.84375,0.453125,1.140625
-59.625,-62.03125,-8.046875,-8.0390625,-62.75,-63.9375,-5.65625,-5.37890625,2.40625,1.1875,-0.0078125,-0.27734375
-59.46875,-60.1875,-8.3671875,-8.9375,-60.71875,-64.0,-3.8984375,-3.880859375,0.71875,3.28125,0.5703125,-0.017578125
-68.5,-71.8125,-6.91015625,-7.5546875,-71.25,-75.5625,-5.828125,-6.4609375,3.3125,4.3125,0.64453125,0.6328125
-65.625,-62.25,-5.8125,-5.90625,-62.75,-70.5625,-4.8671875,-6.18359375,-3.375,7.8125,0.09375,1.31640625
-55.65625,-58.15625,-5.83984375,-6.8359375,-58.375,-61.25,-4.92578125,-5.16796875,2.5,2.875,0.99609375,0.2421875
-59.34375,-61.78125,-7.6171875,-7.8515625,-65.25,-67.6875,-6.65234375,-6.296875,2.4375,2.4375,0.234375,-0.35546875
-67.125,-65.375,-8.9765625,-10.59375,-66.9375,-71.4375,-4.87109375,-4.99609375,-1.75,4.5,1.6171875,0.125
