condition,target_structure,token_index,n_items,mean_token_pe,sd_token_pe,mean_congruent_log_prob,mean_incongruent_log_prob,post_divergence_rate,structure_region_rate
ANOMALOUS,active,0,15000,-0.2964621333758036,0.8109728140975944,-6.960383084805806,-6.663920951430003,0.11066666666666666,0.0
ANOMALOUS,active,1,15000,-0.015351672903696694,0.6722248197841624,-8.860311194578806,-8.84495952167511,1.0,0.0
ANOMALOUS,active,2,15000,0.17463293656508128,0.6575267527388978,-10.71173786274592,-10.886370799311003,1.0,1.0
ANOMALOUS,active,3,15000,0.0009406947630457614,0.3546570259059002,-2.549688594303249,-2.5506292890662947,1.0,1.0
ANOMALOUS,active,4,15000,0.06395189825793107,0.5312548026458992,-7.784354890805483,-7.848306789063414,1.0,1.0
ANOMALOUS,active,5,15000,0.14961444736123086,0.5807004380582,-4.06942144952019,-4.219035896881421,1.0,1.0
ANOMALOUS,active,6,1790,0.2993376410207269,0.5403587093317993,-3.1727817643288128,-3.4721194053495394,1.0,1.0
ANOMALOUS,passive,0,15000,0.29637853272755943,0.8109776767212674,-6.6764147360801696,-6.972793268807729,0.11066666666666666,0.0
ANOMALOUS,passive,1,15000,-0.03241105523109436,0.6502270186042074,-9.139928335205713,-9.10751727997462,1.0,0.0
ANOMALOUS,passive,2,15000,0.05811815173625946,0.604227412184884,-4.420915538477898,-4.479033690214157,1.0,1.0
ANOMALOUS,passive,3,15000,0.32724127581914264,0.5929121376645012,-8.511039205821355,-8.838280481640497,1.0,1.0
ANOMALOUS,passive,4,15000,0.3658896274001648,0.3452425264228663,-2.176561060470715,-2.54245068787088,1.0,1.0
ANOMALOUS,passive,5,15000,-0.053614471401770905,0.19873121608088454,-1.807869234752655,-1.754254763350884,1.0,1.0
ANOMALOUS,passive,6,15000,0.012419583972295126,0.5348766809828911,-8.172984630088012,-8.185404214060307,1.0,1.0
ANOMALOUS,passive,7,15000,-0.07934938401381175,0.5202596989675649,-2.9996071685155234,-2.9202577845017115,1.0,1.0
ANOMALOUS,passive,8,330,0.0607214042634675,0.5807880266279081,-2.813099223917181,-2.873820628180648,1.0,1.0
CORE,active,0,15000,-0.515279097143809,0.7076234008982464,-7.280571443398793,-6.765292346254984,0.13533333333333333,0.0
CORE,active,1,15000,-0.013371229712168376,0.6831673622820853,-8.522176454321544,-8.508805224609375,1.0,0.0
CORE,active,2,15000,0.28430500180721285,0.7236390048847715,-10.967460682582855,-11.251765684390069,1.0,1.0
CORE,active,3,15000,0.05172859553614011,0.4176303232924173,-2.5911860909617195,-2.6429146864978597,1.0,1.0
CORE,active,4,15000,0.07305394273996353,0.5461896258609413,-7.893276621611913,-7.9663305643518765,1.0,1.0
CORE,active,5,15000,0.17251022031704585,0.5600724143149547,-4.019183196683724,-4.191693417000771,1.0,1.0
CORE,active,6,1710,0.12420776577023734,0.4856641196803833,-3.1138732943269942,-3.2380810600972314,1.0,1.0
CORE,passive,0,15000,0.5143792468388876,0.7073206556784976,-6.746901287492117,-7.261280534331004,0.13533333333333333,0.0
CORE,passive,1,15000,-0.09548149859110515,0.6675770478134719,-9.308418340190252,-9.212936841599147,1.0,0.0
CORE,passive,2,15000,0.08694001363913219,0.5601481823086715,-4.36120315249761,-4.448143166136742,1.0,1.0
CORE,passive,3,15000,0.2950198595603307,0.6202805508058168,-8.576448703233401,-8.871468562793732,1.0,1.0
CORE,passive,4,15000,0.35632375643961134,0.3449837080992469,-2.1114978182144464,-2.4678215746540575,1.0,1.0
CORE,passive,5,15000,-0.07221502763231595,0.21853517215184848,-1.8879097777962686,-1.8156947501639524,1.0,1.0
CORE,passive,6,15000,0.015161769767602284,0.5543611769731384,-8.077210056432088,-8.09237182619969,1.0,1.0
CORE,passive,7,15000,0.22629558777809142,0.485300005692447,-2.650369185956319,-2.8766647737344107,1.0,1.0
CORE,passive,8,250,0.46493723630905154,0.5652841040200107,-2.4524084401130675,-2.9173456764221193,1.0,1.0
jabberwocky-only,active,0,15000,-0.9035015546957652,1.070085215328747,-6.0660308731714885,-5.162529318475723,0.0,0.0
jabberwocky-only,active,1,15000,-0.126213485399882,0.5074232808265746,-5.944461974604924,-5.818248489205042,0.9011333333333333,0.0
jabberwocky-only,active,2,15000,0.024066183221836884,0.5486789333047748,-7.064644483616451,-7.088710666838288,0.9947333333333334,0.0
jabberwocky-only,active,3,15000,0.018456792603433133,0.5727669777705972,-7.244609510338306,-7.2630663029417395,0.9988,0.0
jabberwocky-only,active,4,15000,0.012547687034805615,0.6115358052090375,-7.52213261377116,-7.534680300805966,1.0,0.03166666666666667
jabberwocky-only,active,5,15000,0.2621831310083469,0.572315670779835,-6.232625351122022,-6.494808482130368,1.0,0.6212
jabberwocky-only,active,6,15000,0.16766554296116035,0.5196170746177805,-6.879900015966098,-7.047565558927258,1.0,0.9697333333333333
jabberwocky-only,active,7,15000,0.05633252792159716,0.5039760218308798,-7.4003338601082564,-7.456666388029854,1.0,1.0
