s_cong_DO,s_inc_DO,w_cong_DO,w_inc_DO,s_cong_PO,s_inc_PO,w_cong_PO,w_inc_PO,s_PE_DO,s_PE_PO
-70.25,-70.1875,-4.52734375,-5.0703125,-72.0625,-74.0,-3.390625,-3.876953125,-0.0625,1.9375
-69.0625,-71.3125,-6.703125,-6.81640625,-72.5625,-72.5,-5.62890625,-5.75,2.25,-0.0625
-74.1875,-76.625,-7.96875,-8.2421875,-76.0625,-76.6875,-3.4296875,-3.599609375,2.4375,0.625
-66.0,-68.0,-5.1875,-5.19140625,-71.1875,-70.5625,-5.71875,-5.859375,2.0,-0.625
-69.25,-68.8125,-4.8984375,-5.40234375,-70.6875,-73.75,-5.8359375,-5.69140625,-0.4375,3.0625
-65.8125,-67.9375,-9.921875,-10.2421875,-72.125,-72.9375,-5.5703125,-5.65234375,2.125,0.8125
-50.3125,-50.375,-5.3515625,-5.0,-52.3125,-54.15625,-4.62109375,-4.9375,0.0625,1.84375
-59.09375,-62.875,-7.0390625,-7.30859375,-62.125,-63.375,-5.046875,-5.1484375,3.78125,1.25
-70.0,-72.875,-4.14453125,-4.3203125,-74.3125,-75.125,-3.79296875,-4.04296875,2.875,0.8125
-65.375,-66.875,-8.703125,-8.578125,-68.0625,-68.0,-3.728515625,-3.953125,1.5,-0.0625
-64.8125,-65.75,-5.40234375,-5.5390625,-68.0625,-71.9375,-5.33203125,-5.5234375,0.9375,3.875
-62.3125,-62.875,-5.18359375,-5.1953125,-65.4375,-67.6875,-4.4453125,-4.75390625,0.5625,2.25
-55.96875,-59.78125,-5.84765625,-6.2109375,-62.8125,-63.5,-3.9609375,-4.53125,3.8125,0.6875
-63.625,-65.125,-10.5625,-10.78125,-67.5,-68.4375,-4.16015625,-4.3828125,1.5,0.9375
-59.3125,-59.9375,-9.140625,-9.1640625,-62.3125,-64.5,-3.6328125,-4.1328125,0.625,2.1875
-72.5625,-75.1875,-4.9453125,-5.203125,-77.5,-77.875,-6.6640625,-6.90234375,2.625,0.375
-70.625,-71.9375,-4.90234375,-4.83203125,-72.125,-72.375,-5.81640625,-6.01171875,1.3125,0.25
-67.1875,-67.8125,-11.3203125,-11.375,-70.4375,-70.75,-4.1796875,-4.60546875,0.625,0.3125
-70.375,-72.375,-8.1640625,-8.5625,-75.5625,-76.25,-5.1640625,-5.40625,2.0,0.6875
-68.3125,-69.1875,-7.84765625,-8.0390625,-71.625,-73.0,-4.41796875,-4.58203125,0.875,1.375
-66.0,-67.25,-5.2109375,-5.390625,-67.0625,-68.125,-5.35546875,-5.578125,1.25,1.0625
-55.25,-56.4375,-5.69921875,-6.0390625,-58.71875,-60.3125,-3.634765625,-4.01171875,1.1875,1.59375
-61.5625,-61.5,-5.359375,-5.2890625,-63.03125,-64.6875,-5.9140625,-5.8203125,-0.0625,1.65625
