structure,condition,layer,mean_var,std_var
transitive,CORE,0,0.9295837367620206,0.006235783064031512
transitive,CORE,1,0.5552234129680496,0.007534657176989959
transitive,CORE,2,0.4644660353353921,0.003690056680114804
transitive,CORE,3,0.4519903672620904,0.00253082535649221
transitive,CORE,4,0.42624650030762207,0.0039333890695193935
transitive,CORE,5,0.3414775787215739,0.0041129139335412184
transitive,CORE,6,0.3145859646891685,0.0031671832557862204
transitive,CORE,7,0.2695907585390735,0.001818136926940277
transitive,CORE,8,0.2551541591850526,0.002227291502281068
transitive,CORE,9,0.23831698284792094,0.002952387644003529
transitive,CORE,10,0.0,0.0
transitive,CORE,11,0.0,0.0
transitive,CORE,12,0.0,0.0
transitive,CORE,13,0.0,0.0
transitive,CORE,14,0.0,0.0
transitive,CORE,15,0.0,0.0
transitive,CORE,16,0.0,0.0
transitive,CORE,17,0.0,0.0
transitive,CORE,18,0.0,0.0
transitive,CORE,19,0.0,0.0
transitive,CORE,20,0.0,0.0
transitive,CORE,21,0.0,0.0
transitive,CORE,22,0.0,0.0
transitive,CORE,23,0.0,0.0
transitive,CORE,24,0.0,0.0
transitive,CORE,25,0.0,0.0
transitive,CORE,26,0.0,0.0
transitive,CORE,27,0.0,0.0
transitive,CORE,28,0.0,0.0
transitive,CORE,29,0.0,0.0
transitive,CORE,30,0.0,0.0
transitive,CORE,31,0.0,0.0
transitive,CORE,32,0.0,0.0
transitive,CORE,33,0.0,0.0
transitive,CORE,34,0.0,0.0
transitive,CORE,35,0.0,0.0
transitive,CORE,36,0.08074964572062329,0.00346937979075675
transitive,ANOMALOUS,0,0.9378963101450198,0.0027373002386976444
transitive,ANOMALOUS,1,0.5620434271155271,0.003808729192371113
transitive,ANOMALOUS,2,0.4616667998835561,0.0038976235184066768
transitive,ANOMALOUS,3,0.4415309547754161,0.0022106116906898364
transitive,ANOMALOUS,4,0.4164568229598985,0.0019169481580364155
transitive,ANOMALOUS,5,0.3354182006811632,0.0014767914900319886
transitive,ANOMALOUS,6,0.3083678204974961,0.0014545573291636382
transitive,ANOMALOUS,7,0.2779539951931359,0.0018420422384970501
transitive,ANOMALOUS,8,0.25460508847028474,0.0018361210567253469
transitive,ANOMALOUS,9,0.2323987184372495,0.0023958435386947554
transitive,ANOMALOUS,10,0.0,0.0
transitive,ANOMALOUS,11,0.0,0.0
transitive,ANOMALOUS,12,0.0,0.0
transitive,ANOMALOUS,13,0.0,0.0
transitive,ANOMALOUS,14,0.0,0.0
transitive,ANOMALOUS,15,0.0,0.0
transitive,ANOMALOUS,16,0.0,0.0
transitive,ANOMALOUS,17,0.0,0.0
transitive,ANOMALOUS,18,0.0,0.0
transitive,ANOMALOUS,19,0.0,0.0
transitive,ANOMALOUS,20,0.0,0.0
transitive,ANOMALOUS,21,0.0,0.0
transitive,ANOMALOUS,22,0.0,0.0
transitive,ANOMALOUS,23,0.0,0.0
transitive,ANOMALOUS,24,0.0,0.0
transitive,ANOMALOUS,25,0.0,0.0
transitive,ANOMALOUS,26,0.0,0.0
transitive,ANOMALOUS,27,0.0,0.0
transitive,ANOMALOUS,28,0.0,0.0
transitive,ANOMALOUS,29,0.0,0.0
transitive,ANOMALOUS,30,0.0,0.0
transitive,ANOMALOUS,31,0.0,0.0
transitive,ANOMALOUS,32,0.0,0.0
transitive,ANOMALOUS,33,0.0,0.0
transitive,ANOMALOUS,34,0.0,0.0
transitive,ANOMALOUS,35,0.0,0.0
transitive,ANOMALOUS,36,0.08597737983033572,0.0028745968821648955
transitive,jabberwocky,0,0.44665530675404347,0.012636743423243748
transitive,jabberwocky,1,0.29497762454807075,0.0031347821002288916
transitive,jabberwocky,2,0.3814897622434275,0.003533727458364742
transitive,jabberwocky,3,0.37331603157761906,0.0030185818594692907
transitive,jabberwocky,4,0.34521703074644566,0.0038350631048794962
transitive,jabberwocky,5,0.3131066263009507,0.003895135812473263
transitive,jabberwocky,6,0.3078676522886914,0.0030837355476105058
transitive,jabberwocky,7,0.2885104199408931,0.0034147128250321605
transitive,jabberwocky,8,0.2732199729579592,0.003226698821174059
transitive,jabberwocky,9,0.26609282760748565,0.004106017250759039
transitive,jabberwocky,10,0.24915466516330692,0.0036370814077428103
transitive,jabberwocky,11,0.0,0.0
transitive,jabberwocky,12,0.0,0.0
transitive,jabberwocky,13,0.0,0.0
transitive,jabberwocky,14,0.0,0.0
transitive,jabberwocky,15,0.0,0.0
transitive,jabberwocky,16,0.0,0.0
transitive,jabberwocky,17,0.0,0.0
transitive,jabberwocky,18,0.0,0.0
transitive,jabberwocky,19,0.0,0.0
transitive,jabberwocky,20,0.0,0.0
transitive,jabberwocky,21,0.0,0.0
transitive,jabberwocky,22,0.0,0.0
transitive,jabberwocky,23,0.0,0.0
transitive,jabberwocky,24,0.0,0.0
transitive,jabberwocky,25,0.0,0.0
transitive,jabberwocky,26,0.0,0.0
transitive,jabberwocky,27,0.0,0.0
transitive,jabberwocky,28,0.0,0.0
transitive,jabberwocky,29,0.0,0.0
transitive,jabberwocky,30,0.0,0.0
transitive,jabberwocky,31,0.0,0.0
transitive,jabberwocky,32,0.0,0.0
transitive,jabberwocky,33,0.0,0.0
transitive,jabberwocky,34,0.0,0.0
transitive,jabberwocky,35,0.0,0.0
transitive,jabberwocky,36,0.11210188980068121,0.001383521643825933
